,oc_name,rank,slot_code,pass_rate_min,pass_rate_max,coefficient
1,Blast from the Past,7,Bomber#1,99,100,20
2,Blast from the Past,7,Bomber#1,98,99,19.933
3,Blast from the Past,7,Bomber#1,97,98,19.867
4,Blast from the Past,7,Bomber#1,96,97,19.8
5,Blast from the Past,7,Bomber#1,95,96,19.733
6,Blast from the Past,7,Bomber#1,94,95,19.667
7,Blast from the Past,7,Bomber#1,93,94,19.6
8,Blast from the Past,7,Bomber#1,92,93,19.533
9,Blast from the Past,7,Bomber#1,91,92,19.467
10,Blast from the Past,7,Bomber#1,90,91,19.4
11,Blast from the Past,7,Bomber#1,89,90,19.333
12,Blast from the Past,7,Bomber#1,88,89,19.267
13,Blast from the Past,7,Bomber#1,87,88,19.2
14,Blast from the Past,7,Bomber#1,86,87,19.133
15,Blast from the Past,7,Bomber#1,85,86,19.067
16,Blast from the Past,7,Bomber#1,84,85,19
17,Blast from the Past,7,Bomber#1,83,84,18.4
18,Blast from the Past,7,Bomber#1,82,83,17.8
19,Blast from the Past,7,Bomber#1,81,82,17.2
20,Blast from the Past,7,Bomber#1,80,81,16.6
21,Blast from the Past,7,Bomber#1,79,80,16
22,Blast from the Past,7,Bomber#1,78,79,15.4
23,Blast from the Past,7,Bomber#1,77,78,14.8
24,Blast from the Past,7,Bomber#1,76,77,14.2
25,Blast from the Past,7,Bomber#1,75,76,13.6
26,Blast from the Past,7,Bomber#1,74,75,13
27,Blast from the Past,7,Bomber#1,73,74,12.4
28,Blast from the Past,7,Bomber#1,72,73,11.8
29,Blast from the Past,7,Bomber#1,71,72,11.2
30,Blast from the Past,7,Bomber#1,70,71,10.6
31,Blast from the Past,7,Bomber#1,69,70,10
32,Blast from the Past,7,Bomber#1,68,69,9.2
33,Blast from the Past,7,Bomber#1,67,68,8.4
34,Blast from the Past,7,Bomber#1,66,67,7.6
35,Blast from the Past,7,Bomber#1,65,66,6.8
36,Blast from the Past,7,Bomber#1,64,65,6
37,Blast from the Past,7,Engineer#1,99,100,21
38,Blast from the Past,7,Engineer#1,98,99,20.941
39,Blast from the Past,7,Engineer#1,97,98,20.882
40,Blast from the Past,7,Engineer#1,96,97,20.824
41,Blast from the Past,7,Engineer#1,95,96,20.765
42,Blast from the Past,7,Engineer#1,94,95,20.706
43,Blast from the Past,7,Engineer#1,93,94,20.647
44,Blast from the Past,7,Engineer#1,92,93,20.588
45,Blast from the Past,7,Engineer#1,91,92,20.529
46,Blast from the Past,7,Engineer#1,90,91,20.471
47,Blast from the Past,7,Engineer#1,89,90,20.412
48,Blast from the Past,7,Engineer#1,88,89,20.353
49,Blast from the Past,7,Engineer#1,87,88,20.294
50,Blast from the Past,7,Engineer#1,86,87,20.235
51,Blast from the Past,7,Engineer#1,85,86,20.176
52,Blast from the Past,7,Engineer#1,84,85,20.118
53,Blast from the Past,7,Engineer#1,83,84,20.059
54,Blast from the Past,7,Engineer#1,82,83,20
55,Blast from the Past,7,Engineer#1,81,82,19.4
56,Blast from the Past,7,Engineer#1,80,81,18.8
57,Blast from the Past,7,Engineer#1,79,80,18.2
58,Blast from the Past,7,Engineer#1,78,79,17.8
59,Blast from the Past,7,Engineer#1,77,78,17
60,Blast from the Past,7,Engineer#1,76,77,16.4
61,Blast from the Past,7,Engineer#1,75,76,15.8
62,Blast from the Past,7,Engineer#1,74,75,15.2
63,Blast from the Past,7,Engineer#1,73,74,14.6
64,Blast from the Past,7,Engineer#1,72,73,14
65,Blast from the Past,7,Engineer#1,71,72,13.4
66,Blast from the Past,7,Engineer#1,70,71,12.8
67,Blast from the Past,7,Engineer#1,69,70,12.2
68,Blast from the Past,7,Engineer#1,68,69,11.6
69,Blast from the Past,7,Engineer#1,67,68,11
70,Blast from the Past,7,Engineer#1,66,67,9.334
71,Blast from the Past,7,Engineer#1,65,66,7.667
72,Blast from the Past,7,Engineer#1,64,65,6
73,Blast from the Past,7,Hacker#1,99,100,13
74,Blast from the Past,7,Hacker#1,98,99,12.952
75,Blast from the Past,7,Hacker#1,97,98,12.904
76,Blast from the Past,7,Hacker#1,96,97,12.856
77,Blast from the Past,7,Hacker#1,95,96,12.808
78,Blast from the Past,7,Hacker#1,94,95,12.76
79,Blast from the Past,7,Hacker#1,93,94,12.712
80,Blast from the Past,7,Hacker#1,92,93,12.664
81,Blast from the Past,7,Hacker#1,91,92,12.616
82,Blast from the Past,7,Hacker#1,90,91,12.568
83,Blast from the Past,7,Hacker#1,89,90,12.52
84,Blast from the Past,7,Hacker#1,88,89,12.472
85,Blast from the Past,7,Hacker#1,87,88,12.424
86,Blast from the Past,7,Hacker#1,86,87,12.376
87,Blast from the Past,7,Hacker#1,85,86,12.328
88,Blast from the Past,7,Hacker#1,84,85,12.28
89,Blast from the Past,7,Hacker#1,83,84,12.232
90,Blast from the Past,7,Hacker#1,82,83,12.184
91,Blast from the Past,7,Hacker#1,81,82,12.136
92,Blast from the Past,7,Hacker#1,80,81,12.088
93,Blast from the Past,7,Hacker#1,79,80,12.04
94,Blast from the Past,7,Hacker#1,78,79,12
95,Blast from the Past,7,Hacker#1,77,78,11.8
96,Blast from the Past,7,Hacker#1,76,77,11.6
97,Blast from the Past,7,Hacker#1,75,76,11.4
98,Blast from the Past,7,Hacker#1,74,75,11.2
99,Blast from the Past,7,Hacker#1,73,74,11
100,Blast from the Past,7,Hacker#1,72,73,10.8
101,Blast from the Past,7,Hacker#1,71,72,10.6
102,Blast from the Past,7,Hacker#1,70,71,10.4
103,Blast from the Past,7,Hacker#1,69,70,10.2
104,Blast from the Past,7,Hacker#1,68,69,10
105,Blast from the Past,7,Hacker#1,67,68,9.8
106,Blast from the Past,7,Hacker#1,66,67,9.6
107,Blast from the Past,7,Hacker#1,65,66,9.4
108,Blast from the Past,7,Hacker#1,64,65,9.2
109,Blast from the Past,7,Hacker#1,63,64,9
110,Blast from the Past,7,Hacker#1,62,63,8
111,Blast from the Past,7,Hacker#1,61,62,7
112,Blast from the Past,7,Hacker#1,60,61,6
113,Blast from the Past,7,Hacker#1,54,60,5
114,Blast from the Past,7,Muscle#1,99,100,22
115,Blast from the Past,7,Muscle#1,98,99,21.933
116,Blast from the Past,7,Muscle#1,97,98,21.867
117,Blast from the Past,7,Muscle#1,96,97,21.8
118,Blast from the Past,7,Muscle#1,95,96,21.733
119,Blast from the Past,7,Muscle#1,94,95,21.667
120,Blast from the Past,7,Muscle#1,93,94,21.6
121,Blast from the Past,7,Muscle#1,92,93,21.533
122,Blast from the Past,7,Muscle#1,91,92,21.467
123,Blast from the Past,7,Muscle#1,90,91,21.4
124,Blast from the Past,7,Muscle#1,89,90,21.333
125,Blast from the Past,7,Muscle#1,88,89,21.267
126,Blast from the Past,7,Muscle#1,87,88,21.2
127,Blast from the Past,7,Muscle#1,86,87,21.133
